rss,cr,x,y,method,r,n
2.0,2287,radial_expansion_proxy_global_mean,bmag_mean,spearman,-0.09427043544690604,34
2.0,2290,expansion_speed_proxy_equator_mean,speed_mean,spearman,-0.22213642213642215,36
2.0,2290,expansion_speed_proxy_equator_mean,bmag_mean,spearman,0.07670527670527671,36
2.0,2290,expansion_speed_proxy_midlat_mean,speed_mean,spearman,-0.4478764478764479,36
2.0,2290,expansion_speed_proxy_midlat_mean,bmag_mean,spearman,0.11377091377091379,36
2.0,2290,expansion_speed_proxy_global_mean,speed_mean,spearman,-0.2751608751608752,36
2.0,2290,expansion_speed_proxy_global_mean,bmag_mean,spearman,0.1552123552123552,36
2.0,2290,radial_expansion_proxy_equator_mean,speed_mean,spearman,0.20514800514800519,36
2.0,2290,radial_expansion_proxy_equator_mean,bmag_mean,spearman,-0.07567567567567568,36
2.0,2290,radial_expansion_proxy_midlat_mean,speed_mean,spearman,0.4442728442728443,36
2.0,2290,radial_expansion_proxy_midlat_mean,bmag_mean,spearman,-0.10373230373230374,36
2.0,2290,radial_expansion_proxy_global_mean,speed_mean,spearman,0.2787644787644788,36
2.0,2290,radial_expansion_proxy_global_mean,bmag_mean,spearman,-0.15752895752895751,36
2.5,all,expansion_speed_proxy_equator_mean,speed_mean,spearman,-0.0380505389523714,214
2.5,all,expansion_speed_proxy_equator_mean,speed_mean,pearson,0.03292684829055715,214
2.5,all,expansion_speed_proxy_equator_mean,bmag_mean,spearman,0.22963967711848074,214
2.5,all,expansion_speed_proxy_equator_mean,bmag_mean,pearson,0.19262683991298202,214
2.5,all,expansion_speed_proxy_equator_mean,density_mean,spearman,0.17777090712061983,214
2.5,all,expansion_speed_proxy_equator_mean,density_mean,pearson,0.10262245728901064,214
2.5,all,expansion_speed_proxy_equator_mean,pdyn_mean,spearman,0.15965114748477827,214
2.5,all,expansion_speed_proxy_equator_mean,pdyn_mean,pearson,0.08080045305964241,214
2.5,all,expansion_speed_proxy_equator_mean,ma_mean,spearman,-0.15409081308105096,214
2.5,all,expansion_speed_proxy_equator_mean,ma_mean,pearson,-0.12064155071360615,214
2.5,all,expansion_speed_proxy_midlat_mean,speed_mean,spearman,-0.048548569385457686,214
2.5,all,expansion_speed_proxy_midlat_mean,speed_mean,pearson,0.017944251450591187,214
2.5,all,expansion_speed_proxy_midlat_mean,bmag_mean,spearman,0.2184130879120342,214
2.5,all,expansion_speed_proxy_midlat_mean,bmag_mean,pearson,0.151114662188431,214
2.5,all,expansion_speed_proxy_midlat_mean,density_mean,spearman,0.17476115112758708,214
2.5,all,expansion_speed_proxy_midlat_mean,density_mean,pearson,0.07739940560509906,214
2.5,all,expansion_speed_proxy_midlat_mean,pdyn_mean,spearman,0.1888940248751802,214
2.5,all,expansion_speed_proxy_midlat_mean,pdyn_mean,pearson,0.021860750973156685,214
2.5,all,expansion_speed_proxy_midlat_mean,ma_mean,spearman,-0.1248393643757787,214
2.5,all,expansion_speed_proxy_midlat_mean,ma_mean,pearson,-0.16215684171381922,214
2.5,all,expansion_speed_proxy_global_mean,speed_mean,spearman,-0.12703186204585099,214
2.5,all,expansion_speed_proxy_global_mean,speed_mean,pearson,-0.04610585674610017,214
2.5,all,expansion_speed_proxy_global_mean,bmag_mean,spearman,0.21759330261741502,214
2.5,all,expansion_speed_proxy_global_mean,bmag_mean,pearson,0.1342663678434353,214
2.5,all,expansion_speed_proxy_global_mean,density_mean,spearman,0.14455216410394553,214
2.5,all,expansion_speed_proxy_global_mean,density_mean,pearson,0.07778173207798111,214
2.5,all,expansion_speed_proxy_global_mean,pdyn_mean,spearman,0.11881005660128997,214
2.5,all,expansion_speed_proxy_global_mean,pdyn_mean,pearson,-0.02270167692324238,214
2.5,all,expansion_speed_proxy_global_mean,ma_mean,spearman,-0.17165955961808668,214
2.5,all,expansion_speed_proxy_global_mean,ma_mean,pearson,-0.16768863651636437,214
2.5,all,radial_expansion_proxy_equator_mean,speed_mean,spearman,0.045611667770742874,214
2.5,all,radial_expansion_proxy_equator_mean,speed_mean,pearson,-0.013778349214207898,214
2.5,all,radial_expansion_proxy_equator_mean,bmag_mean,spearman,-0.23289249210751115,214
2.5,all,radial_expansion_proxy_equator_mean,bmag_mean,pearson,-0.14007896143537454,214
2.5,all,radial_expansion_proxy_equator_mean,density_mean,spearman,-0.19503843316364167,214
2.5,all,radial_expansion_proxy_equator_mean,density_mean,pearson,-0.0839398764873647,214
2.5,all,radial_expansion_proxy_equator_mean,pdyn_mean,spearman,-0.1662510599349192,214
2.5,all,radial_expansion_proxy_equator_mean,pdyn_mean,pearson,-0.060704949135043595,214
2.5,all,radial_expansion_proxy_equator_mean,ma_mean,spearman,0.15770668348277012,214
2.5,all,radial_expansion_proxy_equator_mean,ma_mean,pearson,0.05164331780029326,214
2.5,all,radial_expansion_proxy_midlat_mean,speed_mean,spearman,0.04425372576919243,214
2.5,all,radial_expansion_proxy_midlat_mean,speed_mean,pearson,0.002461169323134163,214
2.5,all,radial_expansion_proxy_midlat_mean,bmag_mean,spearman,-0.20958830431484163,214
2.5,all,radial_expansion_proxy_midlat_mean,bmag_mean,pearson,-0.1285656973779905,214
2.5,all,radial_expansion_proxy_midlat_mean,density_mean,spearman,-0.175635425244359,214
2.5,all,radial_expansion_proxy_midlat_mean,density_mean,pearson,-0.07350026067490979,214
2.5,all,radial_expansion_proxy_midlat_mean,pdyn_mean,spearman,-0.19049686075592873,214
2.5,all,radial_expansion_proxy_midlat_mean,pdyn_mean,pearson,-0.03797148031871347,214
2.5,all,radial_expansion_proxy_midlat_mean,ma_mean,spearman,0.11743864622203991,214
2.5,all,radial_expansion_proxy_midlat_mean,ma_mean,pearson,0.12222495282865621,214
2.5,all,radial_expansion_proxy_global_mean,speed_mean,spearman,0.12047112873267943,214
2.5,all,radial_expansion_proxy_global_mean,speed_mean,pearson,0.0502160152914166,214
2.5,all,radial_expansion_proxy_global_mean,bmag_mean,spearman,-0.21497966301866278,214
2.5,all,radial_expansion_proxy_global_mean,bmag_mean,pearson,-0.11105742336531252,214
2.5,all,radial_expansion_proxy_global_mean,density_mean,spearman,-0.1413415944482369,214
2.5,all,radial_expansion_proxy_global_mean,density_mean,pearson,-0.06429087892788946,214
2.5,all,radial_expansion_proxy_global_mean,pdyn_mean,spearman,-0.1190782163093755,214
2.5,all,radial_expansion_proxy_global_mean,pdyn_mean,pearson,0.022316247768007932,214
2.5,all,radial_expansion_proxy_global_mean,ma_mean,spearman,0.16924489777176424,214
