rss,cr,ballistic_phase10_deg,n,bx_gse_mean,bmag_mean,pfss_equator_signed_mean,pfss_global_signed_mean,omni_radial_polarity_proxy,pfss_equator_polarity_proxy,pfss_global_polarity_proxy
2.0,2281,310.0,18,0.7111111150847541,5.744444449742635,0.021180253240928218,0.010003040130641539,-1.0,1.0,1.0
2.0,2281,320.0,22,0.4772727435285395,6.104545441540805,0.03047532871310409,0.031855216779928114,-1.0,1.0,1.0
2.0,2281,330.0,35,-1.874285682610103,5.817142881665911,0.03398056635051054,0.054954631513463775,1.0,1.0,1.0
2.0,2281,340.0,27,-3.5851851679660656,6.733333322736952,0.04889011312730287,0.07450085294261435,1.0,1.0,1.0
2.0,2281,350.0,27,-1.933333331236133,3.8851851887173123,0.08888857843847481,0.10162531638724633,1.0,1.0,1.0
2.0,2283,0.0,9,-0.16666663355297512,4.555555529064602,-0.0010053676447486443,0.032217699588290745,1.0,-1.0,1.0
2.0,2283,10.0,26,2.534615390575849,4.18461537361145,0.1532985592104243,0.11651790566648851,-1.0,1.0,1.0
2.0,2283,20.0,10,0.030000010132789613,7.350000047683716,0.28071288942945305,0.18279829444044804,-1.0,1.0,1.0
2.0,2283,30.0,12,-0.574999988079071,9.858333428700766,0.35606181777542384,0.2199127926953165,1.0,1.0,1.0
2.0,2283,40.0,26,0.003846160207803433,8.1423076574619,0.3663211728293224,0.22025941675183275,-1.0,1.0,1.0
2.0,2283,50.0,13,2.5769231090178857,7.038461501781757,0.2860602137944356,0.16874169414070445,-1.0,1.0,1.0
2.0,2283,60.0,25,-0.7360000145435334,6.163999977111817,0.1749775256998649,0.10066859373982599,1.0,1.0,1.0
2.0,2283,70.0,5,2.9800000190734863,10.379999828338622,0.023892884235961243,0.00995403898054832,-1.0,1.0,1.0
2.0,2283,80.0,7,2.82857141324452,14.728571483067103,-0.08940071843358188,-0.05727140955638223,-1.0,-1.0,-1.0
2.0,2283,90.0,9,1.9888888465033636,10.944444391462538,-0.15658381970279128,-0.09672939635437273,-1.0,-1.0,-1.0
2.0,2283,100.0,28,1.2142856988523687,4.396428576537541,-0.15455334422864042,-0.09430349171443689,-1.0,-1.0,-1.0
2.0,2283,110.0,12,0.4166666691501935,5.691666603088379,-0.11790846364577544,-0.06833060693708244,-1.0,-1.0,-1.0
2.0,2283,120.0,36,2.8333333200878568,6.263888888888889,-0.08057772023687272,-0.040429838696413936,-1.0,-1.0,-1.0
2.0,2283,130.0,22,1.9500000124627894,5.654545458880338,-0.03910232987316675,-0.011052315626274432,-1.0,-1.0,-1.0
2.0,2283,140.0,41,2.36585364799674,4.024390238087352,0.019511612493584678,0.019412800071299655,-1.0,1.0,1.0
2.0,2283,150.0,7,3.4857142993382046,5.900000027247837,0.07240003017542039,0.04114515032162409,-1.0,1.0,1.0
2.0,2283,160.0,19,1.9315789467410038,10.531578867059006,0.19613734606619304,0.08276747700008258,-1.0,1.0,1.0
2.0,2283,170.0,7,-3.971428598676409,12.300000054495674,0.2656187613303591,0.09726208457543604,1.0,1.0,1.0
2.0,2283,180.0,3,-5.899999936421712,14.333333651224772,0.2840687187351797,0.07023629270453396,1.0,1.0,1.0
2.0,2283,190.0,16,-3.374999988824129,8.712500035762787,0.21783324681650737,0.014846805929782332,1.0,1.0,1.0
2.0,2283,200.0,18,-2.372222246395217,5.433333343929714,0.08999434894199036,-0.06502187219543082,1.0,1.0,-1.0
2.0,2283,210.0,13,-2.5076923186962423,5.276923032907339,-0.15309021530039105,-0.1858737016587137,1.0,-1.0,-1.0
2.0,2283,220.0,30,0.10000000049670539,3.303333334128062,-0.2917300042408982,-0.2377305094425549,-1.0,-1.0,-1.0
2.0,2283,230.0,32,-0.40937502426095307,11.000000029802322,-0.3490032103321682,-0.23807277852171202,1.0,-1.0,-1.0
2.0,2283,240.0,16,1.181249987334013,9.162499994039536,-0.31488403113545316,-0.20629700138223092,-1.0,-1.0,-1.0
2.0,2283,250.0,3,6.866666793823242,18.233333269755047,-0.20340196287673526,-0.1296895978173887,-1.0,-1.0,-1.0
2.0,2283,260.0,5,3.4,19.41999969482422,-0.12096046423287818,-0.0761918639358693,-1.0,-1.0,-1.0
2.0,2283,270.0,26,-2.5038461731030393,4.173076895567087,-0.012550502110990954,-0.004451610580080908,1.0,-1.0,-1.0
2.0,2283,280.0,25,-2.4080000004172324,4.792000012397766,0.03100610921754917,0.02597538030818588,1.0,1.0,1.0
2.0,2283,290.0,9,0.866666661368476,8.433333343929714,0.07996375508904978,0.06428929221813345,-1.0,1.0,1.0
2.0,2283,300.0,10,-2.1600000143051146,7.940000009536743,0.07963410850886296,0.06832957123620412,1.0,1.0,1.0
2.0,2283,310.0,10,-2.8600000217556953,7.030000019073486,0.03757245599671103,0.04821669517255825,1.0,1.0,1.0
2.0,2283,320.0,19,-2.3736842102126072,6.357894746880782,-0.01010877786870058,0.022078661069016087,1.0,-1.0,1.0
