rss,cr,ballistic_phase10_deg,n,bmag_mean,br_rtn_mean,bt_rtn_mean,bn_rtn_mean,btan_rtn_mean,rtn_spiral_angle_mean_deg,pfss_equator_signed_mean,pfss_global_signed_mean,omni_rtn_radial_polarity,pfss_equator_polarity,pfss_global_polarity
2.0,2284,40.0,7,18.74285752432687,6.314285721097674,-2.371428540774754,-12.642857330186027,14.801483464945084,-23.213240713308235,0.47686803154821017,0.2596453791308862,1.0,1.0,1.0
2.0,2284,50.0,17,8.464705803815056,1.6764705531737383,-1.5117647152613192,1.0470588023171705,3.845201491380568,-30.413493555154492,0.4831709283417672,0.2636256051260963,1.0,1.0,1.0
2.0,2284,60.0,51,6.421568636800728,1.3078431485622537,-2.241176465124476,1.3176470394520199,4.361736114786425,-46.84434525229841,0.3840294415283151,0.2046481541607589,1.0,1.0,1.0
2.0,2284,70.0,33,3.9151514876972544,2.7636363531152406,-1.0030302974310787,-0.2575757557695562,1.9059640096960977,-23.218718844804343,0.22647029732478902,0.11403116183192523,1.0,1.0,1.0
2.0,2284,80.0,27,7.681481414371067,0.1148148170775838,-2.4185185167524548,0.7999999870856603,5.602530289341595,-42.96711127807628,0.10618920450368396,0.04811607173082361,1.0,1.0,1.0
2.0,2284,90.0,12,9.083333333333334,-2.616666660954555,-4.333333392937978,4.316666565214594,6.891601494898647,-120.21251693212649,0.041176595277076525,0.013933132955103076,-1.0,1.0,1.0
2.0,2284,100.0,18,11.833333333333334,-5.53333334128062,6.377777871158388,-4.027777761220932,9.007104154128259,115.9729124518621,0.00059249910585915,-0.006703584205072089,-1.0,1.0,-1.0
2.0,2284,110.0,26,6.630769234437209,2.6615384496175327,-2.5115384665819316,-2.03461538369839,4.56881642771498,-38.35687156949847,0.0170733403852259,0.0008040218888701346,1.0,1.0,1.0
2.0,2284,120.0,20,7.990000009536743,1.5700000084936618,-6.019999988004566,-0.08500001505017281,6.9476104858837715,-61.00079710537146,0.039583695670888396,0.009577767303647915,1.0,1.0,1.0
2.0,2284,130.0,22,5.672727303071455,3.0681818215684458,-1.1727272732691332,1.000000001354651,3.3425220132831184,-13.154854342308301,0.0071282451406904776,-0.00857031808440501,1.0,1.0,-1.0
2.0,2284,140.0,11,5.954545497894287,3.2272727489471436,-2.863636390729384,-0.6636363565921783,3.6480865564394587,-35.86139225428894,-0.06519841050248518,-0.04826223011384901,1.0,-1.0,-1.0
2.0,2284,150.0,27,6.448148197597927,1.3111111116078165,-4.4333333386867135,1.6481481475962534,5.366414945902524,-71.86843824026359,-0.13461069895257546,-0.09543632258498153,1.0,-1.0,-1.0
2.0,2284,160.0,15,6.399999936421712,0.7466666713356972,-2.993333347638448,1.4666667024294535,4.868661709544743,-72.78760082690661,-0.07933058139080412,-0.08853933382023725,1.0,-1.0,-1.0
2.0,2284,170.0,17,7.288235299727496,-1.1705882181139553,-3.558823511880987,-4.235294121153214,6.332300733267924,-93.71070175248234,0.02822831878670206,-0.05011565878249807,-1.0,1.0,-1.0
2.0,2284,180.0,20,7.8399999141693115,0.1900000050663948,0.15499998815357685,-1.650000012665987,5.879056512735605,14.103998324217802,0.2421247886372077,0.037325201662518834,1.0,1.0,1.0
2.0,2284,190.0,15,7.7,4.026666680971782,3.2066667000452678,2.213333300749461,5.264477025704881,30.40806794919178,0.37627082825715885,0.09749249710766428,1.0,1.0,1.0
2.0,2284,200.0,18,6.016666677263048,4.655555612511105,-1.5388888861570094,-0.3222222237123384,2.3146376969914324,-16.6593921434039,0.39486336901320646,0.10968800861837966,1.0,1.0,1.0
2.0,2284,210.0,19,6.152631508676629,3.6421052672361074,-0.37894735681383235,1.3684210604742955,3.5110134954411634,-5.2868718358152265,0.268047496010942,0.056424201397364336,1.0,1.0,1.0
2.0,2284,220.0,22,5.586363651535728,2.6909091147509487,-1.2545454613864422,0.7863636213270101,3.22274142204343,-16.118013557712178,-0.004960633066978109,-0.06554257733435831,1.0,-1.0,-1.0
2.0,2284,230.0,30,5.203333338101705,1.576666670292616,-2.0166666723787783,3.096666677792867,4.578601606088236,-35.67753765134514,-0.1749182247569462,-0.14286312484116884,1.0,-1.0,-1.0
2.0,2284,240.0,12,9.400000055631002,-0.39166667064030963,-7.483333388964335,4.075000017881393,9.095452439396594,-90.91752283693535,-0.3153488930723607,-0.20665956173072428,-1.0,-1.0,-1.0
2.0,2284,250.0,18,7.838888896836175,-0.68888885817594,-6.1666666467984514,-0.011111100514729792,7.0923304384395545,-89.7044850182048,-0.303951290640197,-0.1991556376039657,-1.0,-1.0,-1.0
2.0,2284,260.0,13,6.761538450534527,1.5307692054372568,-1.1000000467667213,-4.5307692014254055,5.922150813036893,-7.526477879618099,-0.21141372088687468,-0.14967451541155152,1.0,-1.0,-1.0
2.0,2284,270.0,21,5.785714285714286,-0.5619047621176356,3.238095235256922,-3.0904762092090787,5.283926648092127,84.6763983766591,-0.09756762858726045,-0.08680907810922228,-1.0,-1.0,-1.0
2.0,2284,280.0,25,3.831999969482422,-0.6120000076293945,2.423999984562397,-0.2120000010728836,3.1759768850650625,82.6065094918448,0.01988621498066076,-0.019078873185614804,-1.0,1.0,-1.0
2.0,2284,290.0,2,13.150000095367432,-0.04999995231628418,-7.600000023841858,-2.7000001668930063,11.4392223691086,-112.82371980383803,0.1490521461728232,0.0582673012540635,-1.0,1.0,1.0
2.0,2284,300.0,6,14.699999968210856,3.9333333174387612,-13.516666571299234,0.8166666428248087,13.72215296612452,-73.67999741553359,0.16249056098766,0.06626845436087807,1.0,1.0,1.0
2.0,2284,310.0,5,13.65999984741211,4.239999905228615,-9.319999790191648,2.0200001120567324,10.426065612523482,-62.738383644647456,0.16852103115666556,0.06886316027799716,1.0,1.0,1.0
2.0,2284,320.0,12,7.774999936421712,2.6249999900658927,-4.799999982118607,1.9583333035310109,5.671452645908492,-61.279137181141145,0.11515420322387566,0.03830785566470023,1.0,1.0,1.0
2.0,2284,330.0,19,4.8894737394232495,2.9789473884984066,-1.9052631588358628,0.6578947321364754,2.6290811977042696,-30.686546175886992,0.018625619204716382,-0.01448784410367572,1.0,1.0,-1.0
2.0,2284,340.0,28,3.582142812865121,0.9142857188624995,-2.0892857291868756,0.12499999946781568,2.3300938940811347,-64.20664035082847,-0.09755704984442908,-0.07760973415262565,1.0,-1.0,-1.0
2.0,2284,350.0,25,3.9960000038146974,1.7160000115633012,-2.2039999961853027,-0.8759999978542328,2.760758325308206,-51.75159609013164,-0.1929067693218151,-0.1307762380128968,1.0,-1.0,-1.0
2.0,2286,0.0,19,5.02631580202203,1.4368421133411557,-3.105263161816095,-0.7052631895793112,3.9508663445442345,-46.295745850194045,-0.2820255278267268,-0.14579010988610444,1.0,-1.0,-1.0
2.0,2286,10.0,19,7.978947413595099,2.5157894617632817,-4.910526281908939,2.3315789825037907,6.6791104564971775,-42.901262277744884,-0.21734886486258734,-0.10106936003486751,1.0,-1.0,-1.0
2.0,2286,20.0,26,6.053846120834351,4.099999966529699,-3.0999999957589,0.7615384608507156,3.5185013532025198,-36.78485166261486,-0.040687849289628764,0.008296746046862745,1.0,-1.0,1.0
2.0,2286,30.0,21,6.309523786817278,4.323809510185605,-2.8714285673839703,0.9761904747713179,3.9219091614269077,-32.13659884645316,0.12028682078593335,0.10078947105717533,1.0,1.0,1.0
2.0,2286,40.0,6,6.450000047683716,3.216666658719381,-4.599999984105428,1.2666666905085247,4.88565677152216,-56.99576422926224,0.2784610274448397,0.18693411727950635,1.0,1.0,1.0
2.0,2286,50.0,14,5.642857125827244,3.2714285935674394,-2.042857125401497,-0.3571428417095116,3.0522381416473956,-39.47083901223381,0.36245526500264885,0.2296884629209102,1.0,1.0,1.0
2.0,2286,60.0,9,7.200000021192762,0.111111119389534,-2.822222272555033,-0.4888888829284244,5.709326529685464,-6.6016397985325925,0.35173906360008006,0.22178148956533836,1.0,1.0,1.0
