cr,x,y,method,r,n
2290,pfss_equator_abs_mean,bmag_mean,pearson,0.1831062400903125,36
2290,pfss_equator_abs_mean,bmag_mean,spearman,0.0416988416988417,36
2290,pfss_equator_abs_mean,density_mean,pearson,0.36842161228924303,36
2290,pfss_equator_abs_mean,density_mean,spearman,0.3601029601029601,36
2290,pfss_equator_abs_mean,pdyn_mean,pearson,0.35811015246426886,36
2290,pfss_equator_abs_mean,pdyn_mean,spearman,0.30090090090090094,36
2290,pfss_equator_abs_mean,ma_mean,pearson,0.22630767603632804,36
2290,pfss_equator_abs_mean,ma_mean,spearman,0.15546975546975547,36
2290,pfss_midlat_abs_mean,speed_mean,pearson,-0.2620664249579315,36
2290,pfss_midlat_abs_mean,speed_mean,spearman,-0.18481338481338483,36
2290,pfss_midlat_abs_mean,bmag_mean,pearson,0.23879539016884557,36
2290,pfss_midlat_abs_mean,bmag_mean,spearman,0.09446589446589447,36
2290,pfss_midlat_abs_mean,density_mean,pearson,0.42269228259035807,36
2290,pfss_midlat_abs_mean,density_mean,spearman,0.3912483912483913,36
2290,pfss_midlat_abs_mean,pdyn_mean,pearson,0.3931004352679675,36
2290,pfss_midlat_abs_mean,pdyn_mean,spearman,0.3420849420849421,36
2290,pfss_midlat_abs_mean,ma_mean,pearson,0.2048919940215524,36
2290,pfss_midlat_abs_mean,ma_mean,spearman,0.10836550836550837,36
2290,pfss_global_abs_mean,speed_mean,pearson,-0.27373214386741046,36
2290,pfss_global_abs_mean,speed_mean,spearman,-0.23063063063063063,36
2290,pfss_global_abs_mean,bmag_mean,pearson,0.31998666644168344,36
2290,pfss_global_abs_mean,bmag_mean,spearman,0.17554697554697557,36
2290,pfss_global_abs_mean,density_mean,pearson,0.4331906333697331,36
2290,pfss_global_abs_mean,density_mean,spearman,0.4244530244530245,36
2290,pfss_global_abs_mean,pdyn_mean,pearson,0.398641357584979,36
2290,pfss_global_abs_mean,pdyn_mean,spearman,0.35341055341055344,36
2290,pfss_global_abs_mean,ma_mean,pearson,0.14401160761560697,36
2290,pfss_global_abs_mean,ma_mean,spearman,0.0380952380952381,36
