sample,rss,cr,x,y,method,r,n,abs_r,null_p_two_sided_abs,null_abs_percentile,null_abs_p95
ambient_without_cr2284,2.5,all,pfss_midlat_abs_mean,pdyn_mean,spearman,0.29837231733783465,144,0.29837231733783465,0.0399800099950025,96.05,0.28574009324009325
ambient_without_cr2284,2.5,all,pfss_midlat_abs_mean,ma_mean,pearson,-0.0592353820432045,144,0.0592353820432045,0.6041979010494752,39.6,0.2025365371704964
ambient_without_cr2284,2.5,all,pfss_midlat_abs_mean,ma_mean,spearman,-0.11292098705891811,144,0.11292098705891811,0.29685157421289354,70.35,0.20660316694799455
ambient_without_cr2284,2.5,all,pfss_global_abs_mean,speed_mean,pearson,-0.09821171609387348,144,0.09821171609387348,0.6151924037981009,38.5,0.3130803849964896
ambient_without_cr2284,2.5,all,pfss_global_abs_mean,speed_mean,spearman,-0.13778461897105823,144,0.13778461897105823,0.3698150924537731,63.05,0.2814477964956178
ambient_without_cr2284,2.5,all,pfss_global_abs_mean,bmag_mean,pearson,0.2897900835261215,144,0.2897900835261215,0.017991004497751123,98.25,0.2453706621770837
ambient_without_cr2284,2.5,all,pfss_global_abs_mean,bmag_mean,spearman,0.24417073001653072,144,0.24417073001653072,0.04247876061969016,95.8,0.23276176830830037
ambient_without_cr2284,2.5,all,pfss_global_abs_mean,density_mean,pearson,0.2428104902616867,144,0.2428104902616867,0.08295852073963018,91.75,0.2665558018792998
ambient_without_cr2284,2.5,all,pfss_global_abs_mean,density_mean,spearman,0.2905594405594406,144,0.2905594405594406,0.04597701149425287,95.45,0.2852951933124347
ambient_without_cr2284,2.5,all,pfss_global_abs_mean,pdyn_mean,pearson,0.24671472684614587,144,0.24671472684614587,0.09745127436281859,90.3,0.2742096690108678
ambient_without_cr2284,2.5,all,pfss_global_abs_mean,pdyn_mean,spearman,0.2342858291134153,144,0.2342858291134153,0.12093953023488256,87.94999999999999,0.2798850574712643
ambient_without_cr2284,2.5,all,pfss_global_abs_mean,ma_mean,pearson,-0.07419988626250434,144,0.07419988626250434,0.5382308845577212,46.2,0.21227241396841268
ambient_without_cr2284,2.5,all,pfss_global_abs_mean,ma_mean,spearman,-0.12534362189534604,144,0.12534362189534604,0.28535732133933034,71.5,0.22005847600675185
final_with_cr2284,3.0,all,pfss_equator_abs_mean,speed_mean,pearson,0.0945160395685455,180,0.0945160395685455,0.35582208895552225,64.45,0.20727917957559377
final_with_cr2284,3.0,all,pfss_equator_abs_mean,speed_mean,spearman,-0.010913928324880334,180,0.010913928324880334,0.9330334832583708,6.7,0.2273046259707016
final_with_cr2284,3.0,all,pfss_equator_abs_mean,bmag_mean,pearson,0.2220085479865217,180,0.2220085479865217,0.010994502748625687,98.95,0.1625333150713389
final_with_cr2284,3.0,all,pfss_equator_abs_mean,bmag_mean,spearman,0.2528206903612022,180,0.2528206903612022,0.012993503248375811,98.75,0.20335103107661928
final_with_cr2284,3.0,all,pfss_equator_abs_mean,density_mean,pearson,0.21289809196641213,180,0.21289809196641213,0.07246376811594203,92.80000000000001,0.2260607673890679
final_with_cr2284,3.0,all,pfss_equator_abs_mean,density_mean,spearman,0.24779777153615848,180,0.24779777153615848,0.04147926036981509,95.89999999999999,0.23725001800467088
final_with_cr2284,3.0,all,pfss_equator_abs_mean,pdyn_mean,pearson,0.1787599772481297,180,0.1787599772481297,0.04847576211894053,95.19999999999999,0.17683651335004097
