sample,rss,cr,x,y,method,r,n,abs_r
final_with_cr2284,2.0,2286,pfss_midlat_abs_mean,density_mean,pearson,0.4521821099119107,36,0.4521821099119107
final_with_cr2284,2.0,2286,pfss_midlat_abs_mean,density_mean,spearman,0.35727155727155735,36,0.35727155727155735
final_with_cr2284,2.0,2286,pfss_midlat_abs_mean,pdyn_mean,pearson,0.4778644096385543,36,0.4778644096385543
final_with_cr2284,2.0,2286,pfss_midlat_abs_mean,pdyn_mean,spearman,0.5122265122265123,36,0.5122265122265123
final_with_cr2284,2.0,2286,pfss_midlat_abs_mean,ma_mean,pearson,-0.3359842297384383,36,0.3359842297384383
final_with_cr2284,2.0,2286,pfss_midlat_abs_mean,ma_mean,spearman,-0.26126126126126126,36,0.26126126126126126
final_with_cr2284,2.0,2286,pfss_global_abs_mean,speed_mean,pearson,-0.21565346597783108,36,0.21565346597783108
final_with_cr2284,2.0,2286,pfss_global_abs_mean,speed_mean,spearman,-0.38844198548805825,36,0.38844198548805825
final_with_cr2284,2.0,2286,pfss_global_abs_mean,bmag_mean,pearson,0.4314559481699216,36,0.4314559481699216
final_with_cr2284,2.0,2286,pfss_global_abs_mean,bmag_mean,spearman,0.40720720720720727,36,0.40720720720720727
final_with_cr2284,2.0,2286,pfss_global_abs_mean,density_mean,pearson,0.4330362963674373,36,0.4330362963674373
final_with_cr2284,2.0,2286,pfss_global_abs_mean,density_mean,spearman,0.41441441441441446,36,0.41441441441441446
final_with_cr2284,2.0,2286,pfss_global_abs_mean,pdyn_mean,pearson,0.3322007568898147,36,0.3322007568898147
final_with_cr2284,2.0,2286,pfss_global_abs_mean,pdyn_mean,spearman,0.41184041184041187,36,0.41184041184041187
final_with_cr2284,2.0,2286,pfss_global_abs_mean,ma_mean,pearson,-0.2311530177852396,36,0.2311530177852396
final_with_cr2284,2.0,2286,pfss_global_abs_mean,ma_mean,spearman,-0.2272844272844273,36,0.2272844272844273
final_with_cr2284,2.0,2290,pfss_equator_abs_mean,speed_mean,pearson,-0.23137862634881654,36,0.23137862634881654
final_with_cr2284,2.0,2290,pfss_equator_abs_mean,speed_mean,spearman,-0.20514800514800519,36,0.20514800514800519
final_with_cr2284,2.0,2290,pfss_equator_abs_mean,bmag_mean,pearson,0.1831062400903125,36,0.1831062400903125
final_with_cr2284,2.0,2290,pfss_equator_abs_mean,bmag_mean,spearman,0.0416988416988417,36,0.0416988416988417
final_with_cr2284,2.0,2290,pfss_equator_abs_mean,density_mean,pearson,0.36842161228924303,36,0.36842161228924303
